reference_number,accident_date,easting,northing,time_24hr,year,source_file,accident_uid,selected_area_name
120318017,2012-07-23,430639,433678,1030,2012,2012.csv,2012_120318017,leeds_central_selected_box
120323327,2012-07-26,430402,433668,1100,2012,2012.csv,2012_120323327,leeds_central_selected_box
120324460,2012-07-27,430876,434235,845,2012,2012.csv,2012_120324460,leeds_central_selected_box
120328178,2012-07-29,430348,433417,2010,2012,2012.csv,2012_120328178,leeds_central_selected_box
120334460,2012-08-02,430773,433332,1315,2012,2012.csv,2012_120334460,leeds_central_selected_box
120348781,2012-08-11,430774,433447,1634,2012,2012.csv,2012_120348781,leeds_central_selected_box
120352872,2012-08-13,430785,433452,1820,2012,2012.csv,2012_120352872,leeds_central_selected_box
120366134,2012-08-22,430060,433648,1720,2012,2012.csv,2012_120366134,leeds_central_selected_box
120366693,2012-08-23,430784,433340,45,2012,2012.csv,2012_120366693,leeds_central_selected_box
120371071,2012-08-26,430045,433940,151,2012,2012.csv,2012_120371071,leeds_central_selected_box
120373866,2012-08-28,430885,433363,955,2012,2012.csv,2012_120373866,leeds_central_selected_box
120381146,2012-09-01,429885,433397,1748,2012,2012.csv,2012_120381146,leeds_central_selected_box
120407441,2012-09-20,430475,433750,900,2012,2012.csv,2012_120407441,leeds_central_selected_box
120407492,2012-09-20,430143,434240,759,2012,2012.csv,2012_120407492,leeds_central_selected_box
120414470,2012-09-24,430636,433692,2040,2012,2012.csv,2012_120414470,leeds_central_selected_box
120417171,2012-09-26,430207,433396,238,2012,2012.csv,2012_120417171,leeds_central_selected_box
120417522,2012-09-26,430873,434251,1230,2012,2012.csv,2012_120417522,leeds_central_selected_box
120419885,2012-09-28,430681,433702,1235,2012,2012.csv,2012_120419885,leeds_central_selected_box
120435427,2012-10-08,430456,433954,2130,2012,2012.csv,2012_120435427,leeds_central_selected_box
120436725,2012-10-09,430346,434192,1435,2012,2012.csv,2012_120436725,leeds_central_selected_box
120437761,2012-10-09,430171,433393,1400,2012,2012.csv,2012_120437761,leeds_central_selected_box
120440506,2012-10-11,430015,434128,200,2012,2012.csv,2012_120440506,leeds_central_selected_box
120477567,2012-10-13,429945,433296,2053,2012,2012.csv,2012_120477567,leeds_central_selected_box
120452226,2012-10-19,430378,433503,1334,2012,2012.csv,2012_120452226,leeds_central_selected_box
120455341,2012-10-21,430073,433935,405,2012,2012.csv,2012_120455341,leeds_central_selected_box
120456432,2012-10-22,429913,434258,855,2012,2012.csv,2012_120456432,leeds_central_selected_box
120466278,2012-10-25,430216,434368,1610,2012,2012.csv,2012_120466278,leeds_central_selected_box
120467209,2012-10-26,430102,433369,917,2012,2012.csv,2012_120467209,leeds_central_selected_box
120468045,2012-10-26,430438,433449,1914,2012,2012.csv,2012_120468045,leeds_central_selected_box
120471770,2012-10-28,430333,433389,2330,2012,2012.csv,2012_120471770,leeds_central_selected_box
120471999,2012-10-29,430079,433935,1635,2012,2012.csv,2012_120471999,leeds_central_selected_box
120473934,2012-10-30,429912,433930,845,2012,2012.csv,2012_120473934,leeds_central_selected_box
120475399,2012-11-01,430064,433780,235,2012,2012.csv,2012_120475399,leeds_central_selected_box
120479215,2012-11-03,430701,433628,1310,2012,2012.csv,2012_120479215,leeds_central_selected_box
120482010,2012-11-05,430656,433665,1248,2012,2012.csv,2012_120482010,leeds_central_selected_box
120486988,2012-11-08,429927,434278,1504,2012,2012.csv,2012_120486988,leeds_central_selected_box
120488867,2012-11-09,430478,433455,1646,2012,2012.csv,2012_120488867,leeds_central_selected_box
120490517,2012-11-10,430035,434056,2200,2012,2012.csv,2012_120490517,leeds_central_selected_box
120490984,2012-11-11,430451,433944,750,2012,2012.csv,2012_120490984,leeds_central_selected_box
120492608,2012-11-12,430188,433964,1127,2012,2012.csv,2012_120492608,leeds_central_selected_box
120495157,2012-11-13,430352,433723,1616,2012,2012.csv,2012_120495157,leeds_central_selected_box
120503060,2012-11-18,430253,433402,450,2012,2012.csv,2012_120503060,leeds_central_selected_box
120522513,2012-12-01,429800,433923,5,2012,2012.csv,2012_120522513,leeds_central_selected_box
120532843,2012-12-07,429983,434064,2315,2012,2012.csv,2012_120532843,leeds_central_selected_box
120535924,2012-12-08,430142,433764,1340,2012,2012.csv,2012_120535924,leeds_central_selected_box
120534836,2012-12-09,429795,433796,1040,2012,2012.csv,2012_120534836,leeds_central_selected_box
120535837,2012-12-09,429985,433396,30,2012,2012.csv,2012_120535837,leeds_central_selected_box
120545685,2012-12-16,430241,433398,350,2012,2012.csv,2012_120545685,leeds_central_selected_box
120545842,2012-12-16,430325,433290,308,2012,2012.csv,2012_120545842,leeds_central_selected_box
120549240,2012-12-18,429815,433404,1312,2012,2012.csv,2012_120549240,leeds_central_selected_box
120549758,2012-12-19,430859,434153,835,2012,2012.csv,2012_120549758,leeds_central_selected_box
120559644,2012-12-27,430388,433607,1138,2012,2012.csv,2012_120559644,leeds_central_selected_box
120564333,2012-12-31,430186,433934,1713,2012,2012.csv,2012_120564333,leeds_central_selected_box
130023385,2013-01-16,430374,433485,2015,2013,2013.csv,2013_130023385,leeds_central_selected_box
130023395,2013-01-16,429794,433923,2100,2013,2013.csv,2013_130023395,leeds_central_selected_box
130026506,2013-01-18,430877,433880,2100,2013,2013.csv,2013_130026506,leeds_central_selected_box
130012900,2013-01-09,430266,433985,1800,2013,2013.csv,2013_130012900,leeds_central_selected_box
130019050,2013-01-14,430839,433997,735,2013,2013.csv,2013_130019050,leeds_central_selected_box
130035563,2013-01-25,430549,433450,835,2013,2013.csv,2013_130035563,leeds_central_selected_box
130048841,2013-02-02,430232,433349,320,2013,2013.csv,2013_130048841,leeds_central_selected_box
130064764,2013-02-12,430361,433439,1630,2013,2013.csv,2013_130064764,leeds_central_selected_box
130067415,2013-02-12,430122,434386,2000,2013,2013.csv,2013_130067415,leeds_central_selected_box
130076068,2013-02-19,430851,434075,828,2013,2013.csv,2013_130076068,leeds_central_selected_box
130079762,2013-02-21,430840,433466,2035,2013,2013.csv,2013_130079762,leeds_central_selected_box
130090039,2013-02-28,430443,433718,2200,2013,2013.csv,2013_130090039,leeds_central_selected_box
130090045,2013-02-28,430660,433926,2245,2013,2013.csv,2013_130090045,leeds_central_selected_box
130090846,2013-02-28,430327,433897,1705,2013,2013.csv,2013_130090846,leeds_central_selected_box
130091406,2013-02-28,430619,433724,1215,2013,2013.csv,2013_130091406,leeds_central_selected_box
130093162,2013-03-02,429935,433739,2223,2013,2013.csv,2013_130093162,leeds_central_selected_box
130104305,2013-03-10,430343,433408,430,2013,2013.csv,2013_130104305,leeds_central_selected_box
130107674,2013-03-12,430418,433774,1125,2013,2013.csv,2013_130107674,leeds_central_selected_box
130115312,2013-03-17,430876,433470,520,2013,2013.csv,2013_130115312,leeds_central_selected_box
130115852,2013-03-16,430413,433399,410,2013,2013.csv,2013_130115852,leeds_central_selected_box
130128616,2013-03-14,430002,434155,1630,2013,2013.csv,2013_130128616,leeds_central_selected_box
130148327,2013-04-10,430712,433585,655,2013,2013.csv,2013_130148327,leeds_central_selected_box
130148545,2013-04-10,430845,433466,1110,2013,2013.csv,2013_130148545,leeds_central_selected_box
130150436,2013-04-11,430151,434124,1505,2013,2013.csv,2013_130150436,leeds_central_selected_box
130156332,2013-04-15,430794,433460,1608,2013,2013.csv,2013_130156332,leeds_central_selected_box
130157270,2013-04-14,430798,433447,430,2013,2013.csv,2013_130157270,leeds_central_selected_box
130157729,2013-04-16,430431,433862,1625,2013,2013.csv,2013_130157729,leeds_central_selected_box
