graph_id,nodes,edges,density,average_degree,median_degree,max_degree,average_clustering,transitivity,assortativity,connected_components,isolated_nodes,largest_component_size,average_shortest_path_length_LCC,diameter_LCC,path_metric_method
1,1620,6782,0.005171611801218555,8.37283950617284,8.0,18,0.00487818735367755,0.00532840751660687,-6.222127528383369e-05,2,1,1619,3.7156075375008304,7,exact
2,1620,6782,0.005171611801218555,8.37283950617284,8.0,20,0.005362360096765555,0.005184060323611038,0.0026316245044543554,1,0,1620,3.709487642882743,7,exact
3,1620,6782,0.005171611801218555,8.37283950617284,8.0,24,0.005292531485809331,0.005434782608695652,-0.007203442626811584,2,1,1619,3.7128185003332645,6,exact
4,1620,6782,0.005171611801218555,8.37283950617284,8.0,20,0.00621120439948556,0.005596817909817311,-0.02230392073950841,2,1,1619,3.711002152284636,6,exact
5,1620,6782,0.005171611801218555,8.37283950617284,8.0,21,0.004563653861756144,0.0047169811320754715,0.0033387266622397337,1,0,1620,3.7130594254950853,7,exact
6,1620,6782,0.005171611801218555,8.37283950617284,8.0,19,0.006567072837426008,0.00619440914866582,0.012905520625133164,1,0,1620,3.717549317899328,6,exact
7,1620,6782,0.005171611801218555,8.37283950617284,8.0,19,0.004693034264041029,0.004700786985686368,0.016310214084128426,1,0,1620,3.7130235856610163,6,exact
8,1620,6782,0.005171611801218555,8.37283950617284,8.0,18,0.0058255453898155415,0.005688665201672928,-0.009989588550477217,1,0,1620,3.714087342438176,6,exact
9,1620,6782,0.005171611801218555,8.37283950617284,8.0,18,0.005315483354699041,0.0054638110081782045,0.0030152082263966216,2,1,1619,3.7145027642236697,7,exact
10,1620,6782,0.005171611801218555,8.37283950617284,8.0,20,0.005393188847064549,0.00510412051395658,-0.019659736747119835,2,1,1619,3.7132514004356487,6,exact
11,1620,6782,0.005171611801218555,8.37283950617284,8.0,19,0.004738191115326765,0.0048617227408842695,-0.011755437226939093,2,1,1619,3.712275657347735,7,exact
12,1620,6782,0.005171611801218555,8.37283950617284,8.0,18,0.004530342267270372,0.004661593064114562,-0.0051755667287147365,2,1,1619,3.7116297429092566,6,exact
13,1620,6782,0.005171611801218555,8.37283950617284,8.0,21,0.005568724753737941,0.005589341582592189,-0.0015551994727343915,1,0,1620,3.713003759369829,6,exact
14,1620,6782,0.005171611801218555,8.37283950617284,8.0,19,0.003803189091143454,0.004292831148641487,0.016994286271327572,1,0,1620,3.7130769641372896,6,exact
15,1620,6782,0.005171611801218555,8.37283950617284,8.0,20,0.005341670151038342,0.005073727604249247,0.007703364727320031,2,1,1619,3.7123550605411175,7,exact
16,1620,6782,0.005171611801218555,8.37283950617284,8.0,19,0.004846075343581364,0.005255965520866183,0.0038136775427906936,1,0,1620,3.7121954567291193,6,exact
17,1620,6782,0.005171611801218555,8.37283950617284,8.0,21,0.005410284939868703,0.00546119722168219,0.02159871494437134,1,0,1620,3.7182394253425755,7,exact
18,1620,6782,0.005171611801218555,8.37283950617284,8.0,18,0.004724949261986299,0.004833997343957504,-0.012877568759205527,1,0,1620,3.7125546176194724,6,exact
19,1620,6782,0.005171611801218555,8.37283950617284,8.0,20,0.004994806110790516,0.004992817350478259,0.01976865342663287,1,0,1620,3.710896834656357,6,exact
20,1620,6782,0.005171611801218555,8.37283950617284,8.0,19,0.004622579899641017,0.004583488781111762,-0.012865227995260853,2,1,1619,3.713017008316721,6,exact
