node_id,username,degree,degree_centrality,betweenness_centrality
749,Jura1,329,0.20321185917232862,0.1763795345237366
1469,VIGNERON,187,0.11550339715873997,0.06733654424652612
1438,TomT0m,186,0.11488573193329216,0.050144463080406536
1342,Snipre,183,0.11303273625694873,0.056185651752732525
644,Infovarius,182,0.11241507103150093,0.056677736377910744
1372,Succu,157,0.09697344039530575,0.04141187954740883
791,Kolja21,131,0.08091414453366276,0.044469597538328874
1081,PKM,124,0.07659048795552811,0.025622073851556106
190,ArthurPSmith,119,0.07350216182828907,0.029074087794775477
266,Brya,119,0.07350216182828907,0.02217225119482104
1434,Tobias1984,117,0.07226683137739345,0.03636518460122922
1128,Pigsonthewing,110,0.06794317479925881,0.021632697781750802
359,Daniel Mietchen,109,0.067325509573811,0.028088196738609548
1003,Multichill,108,0.06670784434836319,0.023495011019176802
1583,Zolo,97,0.05991352686843731,0.017066008765383108
707,Jheald,95,0.0586781964175417,0.017247476786213405
676,Jane023,93,0.05744286596664608,0.017042898868304974
250,Bluerasberry,91,0.056207535515750466,0.025765414223413653
983,MisterSynergy,86,0.05311920938851143,0.024466653732122024
462,Epìdosis,81,0.05003088326127239,0.01704032981139222
