editor,degree,proximity_mean,proximity_min,direct_strength_sum,direct_contact_fraction,shared_neighbours_total,jaccard_with_source_neighbourhood,min_distance_to_sources,distance_map,degree_norm,shared_neighbours_norm,jaccard_norm,priority_score,priority_rank,priority_label
Vojtěch Dostál,48,1.0,1.0,0.015625,1.0,19,0.07450980392156863,1,{'Pasleim': 1},0.6953398915813905,0.18095238095238095,0.22636788048552756,0.4975005088180985,35,lower
MisterSynergy,27,1.0,1.0,0.046875,1.0,17,0.07203389830508475,1,{'Pasleim': 1},0.5736884545604628,0.1619047619047619,0.2188458434221146,0.494668709451187,36,lower
Micru,18,1.0,1.0,0.0625,1.0,16,0.07017543859649122,1,{'Pasleim': 1},0.4893944887872122,0.1523809523809524,0.21319966583124478,0.4918908814986756,37,lower
Tobias1984,27,1.0,1.0,0.015625,1.0,18,0.07659574468085106,1,{'Pasleim': 1},0.5736884545604628,0.17142857142857143,0.2327051671732523,0.4901469037310627,38,lower
Closeapple,25,1.0,1.0,0.015625,1.0,18,0.07725321888412018,1,{'Pasleim': 1},0.5575785779244458,0.17142857142857143,0.23470263641937464,0.48954115682387406,39,lower
Jarekt,24,1.0,1.0,0.0625,1.0,14,0.059322033898305086,1,{'Pasleim': 1},0.5490526281229136,0.13333333333333333,0.18022598870056497,0.48776689694286884,40,lower
Jonathan Groß,14,1.0,1.0,0.09375,1.0,13,0.05726872246696035,1,{'Pasleim': 1},0.43800738505086584,0.12380952380952381,0.17398783301867002,0.4874985573163151,41,lower
Sk!d,36,1.0,1.0,0.015625,1.0,16,0.06504065040650407,1,{'Pasleim': 1},0.6342762482902229,0.1523809523809524,0.19759969028261715,0.4858562219189634,42,lower
Nemo_bis,20,1.0,1.0,0.046875,1.0,15,0.06493506493506493,1,{'Pasleim': 1},0.5111510167801043,0.14285714285714285,0.19727891156462585,0.4855756205668964,43,lower
Pichpich,23,1.0,1.0,0.015625,1.0,17,0.07327586206896551,1,{'Pasleim': 1},0.5401785856056883,0.1619047619047619,0.2226190476190476,0.4855580364231416,44,lower
Wylve,21,1.0,1.0,0.03125,1.0,16,0.06926406926406926,1,{'Pasleim': 1},0.5212637170902569,0.1523809523809524,0.21043083900226758,0.4853949602309301,45,lower
Fralambert,17,1.0,1.0,0.078125,1.0,12,0.05194805194805195,1,{'Pasleim': 1},0.4776411478253298,0.11428571428571428,0.1578231292517007,0.4820527631735794,46,lower
Jheald,19,1.0,1.0,0.046875,1.0,14,0.06060606060606061,1,{'Pasleim': 1},0.5005448228312244,0.13333333333333333,0.18412698412698414,0.48182535622092637,47,lower
Brya,21,1.0,1.0,0.015625,1.0,16,0.06926406926406926,1,{'Pasleim': 1},0.5212637170902569,0.1523809523809524,0.21043083900226758,0.4814887102309301,48,lower
VIGNERON,21,1.0,1.0,0.03125,1.0,14,0.060085836909871244,1,{'Pasleim': 1},0.5212637170902569,0.13333333333333333,0.18254649499284692,0.4787970020204642,49,lower
YMS,21,1.0,1.0,0.015625,1.0,15,0.06465517241379311,1,{'Pasleim': 1},0.5212637170902569,0.14285714285714285,0.19642857142857145,0.47818372156879857,50,lower
Kizar,20,1.0,1.0,0.015625,1.0,15,0.06493506493506493,1,{'Pasleim': 1},0.5111510167801043,0.14285714285714285,0.19727891156462585,0.4777631205668964,51,lower
JulesWinnfield-hu,16,1.0,1.0,0.046875,1.0,13,0.056768558951965066,1,{'Pasleim': 1},0.46521583150764756,0.12380952380952381,0.17246828862549388,0.47698827519983655,52,lower
Jklamo,12,1.0,1.0,0.09375,1.0,10,0.043859649122807015,1,{'Pasleim': 1},0.40689957207793404,0.09523809523809523,0.13324979114452798,0.4761550767659686,53,lower
Vladimir Alexiev,22,1.0,1.0,0.015625,1.0,14,0.05982905982905983,1,{'Pasleim': 1},0.5309268125772608,0.13333333333333333,0.18176638176638177,0.4752958954721679,54,lower
T.seppelt,17,1.0,1.0,0.015625,1.0,14,0.0611353711790393,1,{'Pasleim': 1},0.4776411478253298,0.13333333333333333,0.18573508005822414,0.4730284820637556,55,lower
Pintoch,24,1.0,1.0,0.015625,1.0,13,0.05485232067510549,1,{'Pasleim': 1},0.5490526281229136,0.12380952380952381,0.16664657424151097,0.47278544359220154,56,lower
Ivan A. Krestinin,13,1.0,1.0,0.0625,1.0,11,0.04824561403508772,1,{'Pasleim': 1},0.4230094487139511,0.10476190476190476,0.14657477025898077,0.4723853304139766,57,lower
Rippitippi,15,1.0,1.0,0.015625,1.0,13,0.05701754385964912,1,{'Pasleim': 1},0.4520370175395351,0.12380952380952381,0.17322472848788636,0.46859247848767016,58,lower
Steak,14,1.0,1.0,0.03125,1.0,12,0.05263157894736842,1,{'Pasleim': 1},0.43800738505086584,0.11428571428571428,0.15989974937343357,0.4685599870470295,59,lower
PokestarFan,13,1.0,1.0,0.046875,1.0,11,0.04824561403508772,1,{'Pasleim': 1},0.4230094487139511,0.10476190476190476,0.14657477025898077,0.4684790804139766,60,lower
Akkakk,21,1.0,1.0,0.015625,1.0,12,0.05106382978723404,1,{'Pasleim': 1},0.5212637170902569,0.11428571428571428,0.1551367781155015,0.4683402565232059,61,lower
Airon90,11,1.0,1.0,0.078125,1.0,9,0.039473684210526314,1,{'Pasleim': 1},0.38949957975917665,0.08571428571428572,0.11992481203007518,0.4681415673338235,62,lower
Delusion23,16,1.0,1.0,0.015625,1.0,12,0.05217391304347826,1,{'Pasleim': 1},0.46521583150764756,0.11428571428571428,0.15850931677018631,0.46587511610954385,63,lower
Vlsergey,12,1.0,1.0,0.046875,1.0,10,0.043859649122807015,1,{'Pasleim': 1},0.40689957207793404,0.09523809523809523,0.13324979114452798,0.4644363267659686,64,lower
Popcorndude,11,1.0,1.0,0.0625,1.0,9,0.039473684210526314,1,{'Pasleim': 1},0.38949957975917665,0.08571428571428572,0.11992481203007518,0.4642353173338235,65,lower
Thierry Caro,16,1.0,1.0,0.015625,1.0,11,0.047619047619047616,1,{'Pasleim': 1},0.46521583150764756,0.10476190476190476,0.14467120181405896,0.4625865427091692,66,lower
Daniel Mietchen,15,1.0,1.0,0.015625,1.0,11,0.04782608695652174,1,{'Pasleim': 1},0.4520370175395351,0.10476190476190476,0.1453002070393375,0.46199050253329144,67,lower
Andrew Gray,12,1.0,1.0,0.046875,1.0,9,0.039301310043668124,1,{'Pasleim': 1},0.40689957207793404,0.08571428571428572,0.11940112289457268,0.46114669803621117,68,lower
Gymel,12,1.0,1.0,0.046875,1.0,9,0.039301310043668124,1,{'Pasleim': 1},0.40689957207793404,0.08571428571428572,0.11940112289457268,0.46114669803621117,69,lower
Arctic.gnome,9,1.0,1.0,0.046875,1.0,8,0.03524229074889868,1,{'Pasleim': 1},0.3498658169847127,0.0761904761904762,0.10706943570379694,0.4551570796577106,70,lower
George.Edward.C,9,1.0,1.0,0.046875,1.0,8,0.03524229074889868,1,{'Pasleim': 1},0.3498658169847127,0.0761904761904762,0.10706943570379694,0.4551570796577106,71,lower
Mateusz Konieczny,13,1.0,1.0,0.03125,1.0,8,0.03463203463203463,1,{'Pasleim': 1},0.4230094487139511,0.0761904761904762,0.10521541950113379,0.4547226096239062,72,lower
Laddo,8,1.0,1.0,0.0625,1.0,7,0.030837004405286344,1,{'Pasleim': 1},0.3269621419788181,0.06666666666666667,0.09368575624082232,0.45467501605635646,73,lower
Epìdosis,21,1.0,1.0,0.015625,1.0,7,0.029166666666666667,1,{'Pasleim': 1},0.5212637170902569,0.06666666666666667,0.08861111111111111,0.45216388029895727,74,lower
Thgoiter,12,1.0,1.0,0.046875,1.0,6,0.02586206896551724,1,{'Pasleim': 1},0.40689957207793404,0.05714285714285714,0.07857142857142857,0.45134944288961104,75,lower
MechQuester,9,1.0,1.0,0.03125,1.0,8,0.03524229074889868,1,{'Pasleim': 1},0.3498658169847127,0.0761904761904762,0.10706943570379694,0.4512508296577106,76,lower
Pütz M.,9,1.0,1.0,0.03125,1.0,8,0.03524229074889868,1,{'Pasleim': 1},0.3498658169847127,0.0761904761904762,0.10706943570379694,0.4512508296577106,77,lower
-revi,13,1.0,1.0,0.015625,1.0,8,0.03463203463203463,1,{'Pasleim': 1},0.4230094487139511,0.0761904761904762,0.10521541950113379,0.4508163596239062,78,lower
Richard Arthur Norton (1958- ),12,1.0,1.0,0.015625,1.0,8,0.034782608695652174,1,{'Pasleim': 1},0.40689957207793404,0.0761904761904762,0.10567287784679089,0.45005661162667104,79,lower
Pere prlpz,10,1.0,1.0,0.03125,1.0,7,0.03056768558951965,1,{'Pasleim': 1},0.3705847112437451,0.06666666666666667,0.09286754002911207,0.44896182289843184,80,lower
Averater,10,1.0,1.0,0.015625,1.0,8,0.03508771929824561,1,{'Pasleim': 1},0.3705847112437451,0.0761904761904762,0.10659983291562239,0.44833356409184477,81,lower
Bever,10,1.0,1.0,0.015625,1.0,8,0.03508771929824561,1,{'Pasleim': 1},0.3705847112437451,0.0761904761904762,0.10659983291562239,0.44833356409184477,82,lower
Llywelyn2000,10,1.0,1.0,0.015625,1.0,8,0.03508771929824561,1,{'Pasleim': 1},0.3705847112437451,0.0761904761904762,0.10659983291562239,0.44833356409184477,83,lower
Agabi10,9,1.0,1.0,0.03125,1.0,7,0.03070175438596491,1,{'Pasleim': 1},0.3498658169847127,0.06666666666666667,0.09327485380116958,0.4479666095626859,84,lower
Thryduulf,9,1.0,1.0,0.015625,1.0,8,0.03524229074889868,1,{'Pasleim': 1},0.3498658169847127,0.0761904761904762,0.10706943570379694,0.4473445796577106,85,lower
Abián,11,1.0,1.0,0.015625,1.0,7,0.030434782608695653,1,{'Pasleim': 1},0.38949957975917665,0.06666666666666667,0.09246376811594204,0.44596093913288637,86,lower
Oliv0,10,1.0,1.0,0.015625,1.0,7,0.03056768558951965,1,{'Pasleim': 1},0.3705847112437451,0.06666666666666667,0.09286754002911207,0.44505557289843184,87,lower
Pinky sl,10,1.0,1.0,0.015625,1.0,7,0.03056768558951965,1,{'Pasleim': 1},0.3705847112437451,0.06666666666666667,0.09286754002911207,0.44505557289843184,88,lower
Pyb,10,1.0,1.0,0.015625,1.0,7,0.03056768558951965,1,{'Pasleim': 1},0.3705847112437451,0.06666666666666667,0.09286754002911207,0.44505557289843184,89,lower
Roland45,9,1.0,1.0,0.015625,1.0,7,0.03070175438596491,1,{'Pasleim': 1},0.3498658169847127,0.06666666666666667,0.09327485380116958,0.4440603595626859,90,lower
Shlomo,8,1.0,1.0,0.03125,1.0,6,0.02631578947368421,1,{'Pasleim': 1},0.3269621419788181,0.05714285714285714,0.07994987468671678,0.44358416599618405,91,lower
85.212.22.136,8,1.0,1.0,0.015625,1.0,7,0.030837004405286344,1,{'Pasleim': 1},0.3269621419788181,0.06666666666666667,0.09368575624082232,0.44295626605635646,92,lower
Anonymous_username_38,8,1.0,1.0,0.015625,1.0,7,0.030837004405286344,1,{'Pasleim': 1},0.3269621419788181,0.06666666666666667,0.09368575624082232,0.44295626605635646,93,lower
Anonymous_username_39,8,1.0,1.0,0.015625,1.0,7,0.030837004405286344,1,{'Pasleim': 1},0.3269621419788181,0.06666666666666667,0.09368575624082232,0.44295626605635646,94,lower
Mfb,8,1.0,1.0,0.015625,1.0,7,0.030837004405286344,1,{'Pasleim': 1},0.3269621419788181,0.06666666666666667,0.09368575624082232,0.44295626605635646,95,lower
EncycloPetey,7,1.0,1.0,0.03125,1.0,6,0.02643171806167401,1,{'Pasleim': 1},0.30135801169302334,0.05714285714285714,0.0803020767778477,0.44233917969100744,96,lower
Giftzwerg 88,7,1.0,1.0,0.03125,1.0,6,0.02643171806167401,1,{'Pasleim': 1},0.30135801169302334,0.05714285714285714,0.0803020767778477,0.44233917969100744,97,lower
Tozibb,7,1.0,1.0,0.03125,1.0,6,0.02643171806167401,1,{'Pasleim': 1},0.30135801169302334,0.05714285714285714,0.0803020767778477,0.44233917969100744,98,lower
Yamaha5,9,1.0,1.0,0.015625,1.0,6,0.026200873362445413,1,{'Pasleim': 1},0.3498658169847127,0.05714285714285714,0.07960074859638178,0.4407881871374453,99,lower
Jon Harald Søby,8,1.0,1.0,0.015625,1.0,6,0.02631578947368421,1,{'Pasleim': 1},0.3269621419788181,0.05714285714285714,0.07994987468671678,0.43967791599618405,100,lower
Teolemon,8,1.0,1.0,0.015625,1.0,6,0.02631578947368421,1,{'Pasleim': 1},0.3269621419788181,0.05714285714285714,0.07994987468671678,0.43967791599618405,101,lower
Gerwoman,7,1.0,1.0,0.015625,1.0,6,0.02643171806167401,1,{'Pasleim': 1},0.30135801169302334,0.05714285714285714,0.0803020767778477,0.43843292969100744,102,lower
ديفيد عادل وهبة خليل 2,7,1.0,1.0,0.015625,1.0,6,0.02643171806167401,1,{'Pasleim': 1},0.30135801169302334,0.05714285714285714,0.0803020767778477,0.43843292969100744,103,lower
Leyo,9,1.0,1.0,0.03125,1.0,4,0.017316017316017316,1,{'Pasleim': 1},0.3498658169847127,0.0380952380952381,0.052607709750566896,0.43818560944333995,104,lower
91.9.109.131,6,1.0,1.0,0.03125,1.0,5,0.022026431718061675,1,{'Pasleim': 1},0.27233044286743946,0.047619047619047616,0.06691839731487309,0.4376446713986688,105,lower
Ham II,6,1.0,1.0,0.03125,1.0,5,0.022026431718061675,1,{'Pasleim': 1},0.27233044286743946,0.047619047619047616,0.06691839731487309,0.4376446713986688,106,lower
Jane023,6,1.0,1.0,0.03125,1.0,5,0.022026431718061675,1,{'Pasleim': 1},0.27233044286743946,0.047619047619047616,0.06691839731487309,0.4376446713986688,107,lower
