editor,degree,proximity_mean,proximity_min,direct_strength_sum,direct_contact_fraction,shared_neighbours_total,jaccard_with_source_neighbourhood,min_distance_to_sources,distance_map,degree_norm,shared_neighbours_norm,jaccard_norm,priority_score,priority_rank,priority_label
AlessioMela,26,1.0,1.0,0.0015501790568574149,1.0,25,0.016976556184316895,1,"{'Cycn': 1, 'Pütz M.': 1}",0.3331581033659224,0.02702702702702703,0.07972780699041139,0.6236570340318908,29,lower
Vinkje83,28,1.0,1.0,0.0016219429747438066,1.0,19,0.012048192771084338,1,"{'Cycn': 1, 'Pütz M.': 1}",0.3423052302946251,0.02027027027027027,0.05542523449815345,0.6222379388616148,30,lower
Palosirkka,19,1.0,1.0,0.0022850729482186078,1.0,21,0.01131770412287793,1,"{'Cycn': 1, 'Pütz M.': 1}",0.2947431215909872,0.02252252252252252,0.05182307454376739,0.6200375766486337,31,lower
Ahoerstemeier,17,1.0,1.0,0.0022850729482186078,1.0,18,0.011336032388663968,1,"{'Cycn': 1, 'Pütz M.': 1}",0.28125641598696366,0.019144144144144143,0.05191345424399944,0.6190299225156063,32,lower
Closeapple,15,1.0,1.0,0.003907015922962415,1.0,15,0.01053484602917342,1,"{'Cycn': 1, 'Pütz M.': 1}",0.2661795618435695,0.015765765765765764,0.04796267221987997,0.6180650914643415,33,lower
Ange Gabriel,11,1.0,1.0,0.009381465615279519,1.0,17,0.008928571428571428,1,"{'Cycn': 1, 'Pütz M.': 1}",0.22935472860800502,0.018018018018018018,0.040041867350094996,0.6171479247227627,34,lower
Karl1263,12,1.0,1.0,0.0015501790568574149,1.0,14,0.0072874493927125505,1,"{'Cycn': 1, 'Pütz M.': 1}",0.23960062031992274,0.01463963963963964,0.03194922403202801,0.6153514919929329,35,lower
LydiaPintscher,11,1.0,1.0,0.0012544960290632103,1.0,9,0.006477732793522267,1,"{'Cycn': 1, 'Pütz M.': 1}",0.22935472860800502,0.009009009009009009,0.02795637798963372,0.6140173554365954,36,lower
WikedKentaur,9,1.0,1.0,0.0012544960290632103,1.0,10,0.005672609400324149,1,"{'Cycn': 1, 'Pütz M.': 1}",0.20601660097646407,0.010135135135135136,0.02398618180323357,0.612764551858311,37,lower
Smiga big,6,1.0,1.0,0.012455941660248436,1.0,9,0.00487012987012987,1,"{'Cycn': 1, 'Pütz M.': 1}",0.16036031374970394,0.009009009009009009,0.02002902294117883,0.6124115560674948,38,lower
NiTenIchiRyu,8,1.0,1.0,0.0016219429747438066,1.0,10,0.0056772100567721,1,"{'Cycn': 1, 'Pütz M.': 1}",0.19252989537244056,0.010135135135135136,0.02400886839865348,0.6121648402970169,39,lower
Headlocker,6,1.0,1.0,0.008790099559691109,1.0,8,0.00487012987012987,1,"{'Cycn': 1, 'Pütz M.': 1}",0.16036031374970394,0.007882882882882882,0.02002902294117883,0.6115657750347706,40,lower
Digipoke,6,1.0,1.0,0.007079137954563636,1.0,10,0.00487012987012987,1,"{'Cycn': 1, 'Pütz M.': 1}",0.16036031374970394,0.010135135135135136,0.02002902294117883,0.6114488079389704,41,lower
Petronas,7,1.0,1.0,0.0012544960290632103,1.0,8,0.004866180048661801,1,"{'Cycn': 1, 'Pütz M.': 1}",0.17745304122904632,0.007882882882882882,0.020009545720342903,0.6109123168415703,42,lower
Incola,6,1.0,1.0,0.0016219429747438066,1.0,9,0.00487012987012987,1,"{'Cycn': 1, 'Pütz M.': 1}",0.16036031374970394,0.009009009009009009,0.02002902294117883,0.6102447563303938,43,lower
Afernand74,4,1.0,1.0,0.002804675085920625,1.0,4,0.0024330900243309003,1,"{'Cycn': 1, 'Pütz M.': 1}",0.11729008036194088,0.0033783783783783786,0.008011577685411168,0.6071638557573895,44,lower
Balloonguy,3,1.0,1.0,0.002437228140240029,1.0,4,0.002435064935064935,1,"{'Cycn': 1, 'Pütz M.': 1}",0.08872652061452317,0.0033783783783783786,0.00802131629582913,0.6056626753114035,45,lower
DeltaBot,4940,0.75,0.5,0.40716180371352784,0.5,645,0.1118717348225545,1,"{'Cycn': 1, 'Pütz M.': 2}",1.0,0.7252252252252253,0.5476715774983739,0.5938384621401468,46,lower
