editor,degree,proximity_mean,proximity_min,direct_strength_sum,direct_contact_fraction,shared_neighbours_total,jaccard_with_source_neighbourhood,min_distance_to_sources,distance_map,degree_norm,shared_neighbours_norm,jaccard_norm,priority_score,priority_rank,priority_label
TomT0m,186,1.0,1.0,1.2352941176470589,1.0,158,0.22406639004149378,1,"{'Jura1': 1, 'Infovarius': 1}",0.998826106112204,1.0,1.0,1.047000128835022,1,very_high
VIGNERON,187,1.0,1.0,0.9411764705882353,1.0,147,0.21106557377049182,1,"{'Jura1': 1, 'Infovarius': 1}",1.0,0.9299363057324841,0.9413424342627197,0.9782960464040314,2,very_high
Succu,157,1.0,1.0,1.0,1.0,113,0.16149068322981366,1,"{'Jura1': 1, 'Infovarius': 1}",0.9617354941437188,0.7133757961783439,0.7176686017746471,0.9553077844137527,3,very_high
Brya,119,1.0,1.0,0.7941176470588236,1.0,83,0.12473118279569892,1,"{'Jura1': 1, 'Infovarius': 1}",0.9011839993742183,0.5222929936305732,0.5518157223679073,0.8837028148619284,4,very_high
MisterSynergy,86,1.0,1.0,0.7941176470588236,1.0,78,0.1187214611872146,1,"{'Jura1': 1, 'Infovarius': 1}",0.8304019701335829,0.49044585987261147,0.5247008371972969,0.8756232557655699,5,very_high
ValterVB,81,1.0,1.0,0.5588235294117647,1.0,94,0.13849765258215962,1,"{'Jura1': 1, 'Infovarius': 1}",0.8173742283235396,0.5923566878980892,0.6139277920746941,0.8425654756920735,6,high
Snipre,183,1.0,1.0,0.38235294117647056,1.0,120,0.16237623762376238,1,"{'Jura1': 1, 'Infovarius': 1}",0.9952663856844838,0.7579617834394905,0.7216640789811702,0.8381132898125259,7,high
PKM,124,1.0,1.0,0.3823529411764706,1.0,111,0.17333333333333334,1,"{'Jura1': 1, 'Infovarius': 1}",0.910169107423901,0.7006369426751592,0.7711007103800306,0.8305977733930067,8,high
Hsarrazin,71,1.0,1.0,0.5882352941176471,1.0,69,0.10208816705336426,1,"{'Jura1': 1, 'Infovarius': 1}",0.7887489388627447,0.43312101910828027,0.44965412291828255,0.8228793138234087,9,high
ArthurPSmith,119,1.0,1.0,0.3529411764705882,1.0,96,0.15198237885462554,1,"{'Jura1': 1, 'Infovarius': 1}",0.9011839993742183,0.6050955414012739,0.6747686809303166,0.8098954234494717,10,high
Jheald,95,1.0,1.0,0.3235294117647059,1.0,92,0.1497695852534562,1,"{'Jura1': 1, 'Infovarius': 1}",0.8520690812348501,0.5796178343949044,0.6647849165713715,0.7985103656827427,11,medium
Epìdosis,81,1.0,1.0,0.3823529411764706,1.0,77,0.12268518518518519,1,"{'Jura1': 1, 'Infovarius': 1}",0.8173742283235396,0.4840764331210191,0.5425845143548601,0.792876168681316,12,medium
Jane023,93,1.0,1.0,0.35294117647058826,1.0,81,0.1244343891402715,1,"{'Jura1': 1, 'Infovarius': 1}",0.8474351293988407,0.5095541401273885,0.5504766377296241,0.7914392376632798,13,medium
Pigsonthewing,110,1.0,1.0,0.23529411764705882,1.0,100,0.16027088036117382,1,"{'Jura1': 1, 'Infovarius': 1}",0.8840243068590081,0.6305732484076433,0.7121650498851124,0.7899256162073821,14,medium
Pasleim,68,1.0,1.0,0.3529411764705882,1.0,81,0.12114014251781473,1,"{'Jura1': 1, 'Infovarius': 1}",0.779381372711219,0.5095541401273885,0.5356135334611196,0.7872933946154734,15,medium
Queryzo,37,1.0,1.0,0.5588235294117647,1.0,42,0.06521739130434782,1,"{'Jura1': 1, 'Infovarius': 1}",0.6480845114116249,0.2611464968152866,0.28329918741270066,0.7844485405050978,16,medium
Ghouston,68,1.0,1.0,0.3529411764705882,1.0,77,0.11848341232227488,1,"{'Jura1': 1, 'Infovarius': 1}",0.779381372711219,0.4840764331210191,0.5236267994866778,0.7841462872161145,17,medium
EncycloPetey,80,1.0,1.0,0.3235294117647059,1.0,78,0.12558139534883722,1,"{'Jura1': 1, 'Infovarius': 1}",0.8146735247196929,0.49044585987261147,0.5556517429443697,0.7822667317234056,18,medium
Valentina.Anitnelav,33,1.0,1.0,0.5,1.0,47,0.07371007371007371,1,"{'Jura1': 1, 'Infovarius': 1}",0.6236032394624049,0.2929936305732484,0.32161678733224147,0.7765603643970572,19,medium
Filceolaire,74,1.0,1.0,0.38235294117647056,1.0,60,0.09382151029748284,1,"{'Jura1': 1, 'Infovarius': 1}",0.7977340469124271,0.37579617834394907,0.4123563139209191,0.7745547241113564,20,medium
Multichill,108,1.0,1.0,0.2058823529411765,1.0,90,0.1403118040089087,1,"{'Jura1': 1, 'Infovarius': 1}",0.880022295113227,0.5668789808917197,0.6221129478644323,0.7729711308262903,21,lower
Oravrattas,58,1.0,1.0,0.29411764705882354,1.0,55,0.08962264150943396,1,"{'Jura1': 1, 'Infovarius': 1}",0.7449198050175392,0.34394904458598724,0.39341170176556167,0.7501350092095185,22,lower
ChristianKl,68,1.0,1.0,0.20588235294117646,1.0,67,0.09767441860465116,1,"{'Jura1': 1, 'Infovarius': 1}",0.779381372711219,0.42038216560509556,0.4297400087287237,0.743670756220742,23,lower
Harmonia Amanda,28,1.0,1.0,0.3823529411764706,1.0,36,0.058823529411764705,1,"{'Jura1': 1, 'Infovarius': 1}",0.5885923713033698,0.2229299363057325,0.2544511238402754,0.7409157566230496,24,lower
billinghurst,67,1.0,1.0,0.20588235294117646,1.0,58,0.09027777777777778,1,"{'Jura1': 1, 'Infovarius': 1}",0.7761681100635642,0.3630573248407643,0.39636756991462313,0.7361089870712212,25,lower
