osmid,y,x,street_count,highway,junction,geometry,graph_degree,incident_accident_count,incident_road_length_m,accident_norm,connectivity_norm,seed_order,strategy
3381506667,433837.8628574556,430824.3913128122,4,,,POINT (430824.3913128122 433837.8628574556),4,0,297.5641943835662,0.0,0.35945170190844833,1,initial
9791529,434121.01200917293,429780.7694676407,3,,,POINT (429780.7694676407 434121.01200917293),3,0,214.82155555348623,0.0,0.07634468813436109,2,initial
340480304,433297.51938658056,430006.47717802215,3,,,POINT (430006.47717802215 433297.51938658056),3,1,305.173486916362,0.041666666666666664,0.11249633471514028,3,initial
52162219,434518.2592628738,430744.0678799069,3,,,POINT (430744.0678799069 434518.2592628738),3,0,245.80662936031302,0.0,0.08874244677268964,4,initial
