seed_node,cell_nodes,cell_edges,cell_total_edge_length_km,largest_connected_component_nodes,largest_connected_component_edges
3381506667,162,283,19.233023443528804,162,221
9791529,66,110,9.293838754838632,66,91
340480304,23,36,3.2040997048666084,23,25
52162219,44,81,6.137082530482348,44,52
