strategy,seed_node,route_found,route_type,base_loop_length_m,repetitions,total_route_length_m,difference_from_target_m
revised,342628235,True,single_loop_repeated,64.02977363022728,656,42003.5315014291,3.5315014290972613
revised,52728502,True,single_loop_repeated,25.317800062814747,1659,42002.23030420967,2.2303042096682475
revised,9823212,True,single_loop_repeated,230.78124662983302,182,42002.186886629606,2.186886629606306
revised,10103026385,True,single_loop_repeated,23.568221837335308,1782,41998.57131413152,1.4286858684790786
