seed_node,cell_nodes,cell_edges,cell_total_edge_length_km,largest_connected_component_nodes,largest_connected_component_edges
342628235,96,155,9.51023937257851,96,125
52728502,84,142,12.498028081128592,84,119
9823212,100,188,13.670861686951138,100,132
10103026385,15,25,2.18891529305815,15,17
